,FullAddress,long,lat
253,Grüntaler Str. 006 13357 Berlin,13.3858739,52.5515594
254,Nazarethkirchstr. 049 13347 Berlin,13.3599439,52.5481622
255,Augustenburger Platz 001 13353 Berlin,13.3482742,52.5423959
256,Ofener Str. 004 13349 Berlin,13.3450831,52.5560499
257,Ackerstr. 076 13355 Berlin,13.3850177,52.5380653
258,Tegeler Str. 044 13353 Berlin,13.35843,52.5402195
259,Ackerstr. 104 13355 Berlin,13.3806903,52.5398455
260,Groninger Str. 032 13347 Berlin,13.3620719,52.553646
261,Eulerstr. 019A 13357 Berlin,13.3898794,52.55308609999999
262,Bastianstr. 021 13357 Berlin,13.3811395,52.550922
263,Malplaquetstr. 041 13347 Berlin,13.3613434,52.5497093
264,Genter Str. 024 13353 Berlin,13.3565997,52.54582509999999
265,Bristolstr. 019 13349 Berlin,13.3499517,52.5591685
266,Plantagenstr. 009 13347 Berlin,13.3674629,52.5464218
267,Groninger Str. 034 13347 Berlin,13.3620311,52.5538163
268,Schulstr. 052-53 13347 Berlin,13.3704197,52.5531523
269,Sparrstr. 026 13353 Berlin,13.3603198,52.5415407
270,Glasgower Str. 025 13349 Berlin,13.3435221,52.556326
271,Grüntaler Str. 030 13357 Berlin,13.3893247,52.5537873
272,Wriezener Str. 043 13359 Berlin,13.3881162,52.556013
273,Prinzenallee 045C 13359 Berlin,13.3873197,52.5595862
274,Zingster Str. 008- 10 13357 Berlin,13.3889535,52.5502659
275,Eulerstr. 018 13357 Berlin,13.3905713,52.5533137
276,Ofener Str. 003A 13349 Berlin,13.34503,52.55576000000001
277,Koloniestr. 007- 8 13357 Berlin,13.3774252,52.5550213
278,Transvaalstr. 020 13351 Berlin,13.3401894,52.5510514
279,Malplaquetstr. 035 13347 Berlin,13.3601129,52.55039319999999
280,Stettiner Str. 008 13357 Berlin,13.3850654,52.5524876
281,Burgsdorfstr. 013 13353 Berlin,13.3622594,52.5425563
282,Exerzierstr. 026 13357 Berlin,13.3733788,52.55448310000001
283,Tegeler Str. 013 13353 Berlin,13.3586681,52.5400509
284,Soldiner Str. 070/71 13359 Berlin,13.3816585,52.5599679
285,Ofener Str. 003 13349 Berlin,13.3447972,52.5558947
286,Stralsunder Str. 004 13355 Berlin,13.3965196,52.5405944
287,Gerichtstr. 040 13347 Berlin,13.3636124,52.5448945
288,Badstr. 012 13357 Berlin,13.3848416,52.5505819
289,Rügener Str. 001- 3 13355 Berlin,13.3919423,52.5448926
290,Seestr. 062 13347 Berlin,13.3561608,52.5524338
291,Reinickendorfer Str. 030 13347 Berlin,13.3693085,52.5472635
292,Reinickendorfer Str. 110A 13347 Berlin,13.3698856,52.5451231
293,Soldiner Str. 065/66 13359 Berlin,13.3803692,52.5601904
294,Usedomer Str. 023 13355 Berlin,13.3884264,52.5396242
295,Barfusstr. 013 13349 Berlin,13.3465536,52.555726
296,Müllerstr. 056-58 13349 Berlin,13.3455511,52.554188
297,Lüderitzstr. 003 13351 Berlin,13.3497748,52.5494912
298,Sparrstr. 003A 13353 Berlin,13.3613941,52.54167940000001
299,Prinz-Eugen-Str. 008 13347 Berlin,13.3649828,52.5475949
300,Demminer Str. 005 13355 Berlin,13.3945309,52.5433351
301,Kongostr. 046 13351 Berlin,13.345787,52.5522042
302,Otawistr. 027 13351 Berlin,13.3387194,52.5533251
303,Sparrstr. 025 13353 Berlin,13.3602409,52.54162609999999
304,Reinickendorfer Str. 099 13347 Berlin,13.3691903,52.5470126
305,Edinburger Str. 013 13349 Berlin,13.3513935,52.5542665
306,Adolfstr. 021 13347 Berlin,13.3667184,52.5479479
307,Schönwalder Str. 017 13347 Berlin,13.3700299,52.5418202
308,Reinickendorfer Str. 032 13347 Berlin,13.3692872,52.5475171
309,Brunnenstr. 085 13355 Berlin,13.3915845,52.5440871
310,Brunnenstr. 085 13355 Berlin,13.3915845,52.5440871
311,Bernauer Str. 115- 118 13355 Berlin,13.3887469,52.5349157
312,Wriezener Str. 039 13359 Berlin,13.3884828,52.5565383
313,Reinickendorfer Str. 063 13347 Berlin,13.3660899,52.55385260000001
