,Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,FullAddress,Unnamed: 0,long,lat
294,01,Mitte,1031790,EKT Kinderoase,Ofener Str. 003,13349,12028791,25.0,Eltern-Initiativ-Kindertagesstätte,1396.0,WASSILA Soziale Gesellschaft für Integration und Arbeit mit Kindern und Jugendlichen gemeinnützige Unternehmergesellschaft (haftungsbeschränkt),Sonstiger freier Träger,Ofener Str. 003 13349 Berlin,285,13.3447972,52.5558947
295,01,Mitte,1031800,Kita Omas Garten,Stralsunder Str. 004,13355,030 4642085,14.0,Kindertagesstätte,882.0,Bürgerinitiative Omas Garten e.V.,Elterninitiativ-Kinderladen,Stralsunder Str. 004 13355 Berlin,286,13.3965196,52.5405944
296,01,Mitte,1031810,Kita Wunderland,Gerichtstr. 040,13347,51307508,30.0,Kindertagesstätte,8220.0,minomi gGmbH,Sonstiger freier Träger,Gerichtstr. 040 13347 Berlin,287,13.3636124,52.5448945
297,01,Mitte,1031830,Kita Weltkinder,Badstr. 012,13357,49988084,82.0,Kindertagesstätte,8286.0,NetBil gGmbH Bildungs- und Beratungszentrum,Sonstiger freier Träger,Badstr. 012 13357 Berlin,288,13.3848416,52.5505819
298,01,Mitte,1031840,Kita Brunnengarten,Rügener Str. 001- 3,13355,27018892,75.0,Eltern-Initiativ-Kindertagesstätte,8700.0,Brunnenkids gGmbH,Sonstiger freier Träger,Rügener Str. 001- 3 13355 Berlin,289,13.3919423,52.5448926
299,01,Mitte,1031850,Kita Plapperfisch,Seestr. 062,13347,92363306,45.0,Kindertagesstätte,8309.0,Wunderkinder gGmbH,Sonstiger freier Träger,Seestr. 062 13347 Berlin,290,13.3561608,52.5524338
300,01,Mitte,1031860,Kinderladen Zauberhaus,Reinickendorfer Str. 030,13347,176 31483285,25.0,Kindertagesstätte,8313.0,Kinderladen Zauberhaus UG (haftungsbeschränkt),Sonstiger freier Träger,Reinickendorfer Str. 030 13347 Berlin,291,13.3693085,52.5472635
301,01,Mitte,1031870,Kita am Nettelbeckplatz,Reinickendorfer Str. 110A,13347,469064150,92.0,Kindertagesstätte,1343.0,OUTLAW gemeinnützige Gesellschaft für Kinder- und Jugendhilfe mbH,Sonstiger freier Träger,Reinickendorfer Str. 110A 13347 Berlin,292,13.3698856,52.5451231
302,01,Mitte,1031880,Kita Die Bärenbande,Soldiner Str. 065/66,13359,03094043452,30.0,Kindertagesstätte,7754.0,BEB Bildungseinrichtung für Erziehung und Bildung e.V.,Sonstiger freier Träger,Soldiner Str. 065/66 13359 Berlin,293,13.3803692,52.5601904
303,01,Mitte,1031890,Kita Sonneninsel,Usedomer Str. 023,13355,43205419,30.0,Eltern-Initiativ-Kindertagesstätte,8291.0,Hauptstadtkinder gGmbH,Sonstiger freier Träger,Usedomer Str. 023 13355 Berlin,294,13.3884264,52.5396242
